Count,Income
231.1608885,0
1132.790638,0
1073.122271,0
632.83952,0
917.1985224,0
878.4389444,0
1105.182793,0
3351.53803,0
3861.122777,0
398.3049555,0
598.5553627,0
344.8076888,0
385.9713883,0
420.6649293,0
282.8651501,0
115.5730408,0
226.2990162,0
417.2214598,0
338.0223656,0
336.8751961,0
336.8751961,0
298.9375152,0
114.8144195,0
103.463189,0
228.1252038,0
127.6545154,0
113.585974,0
104.0751018,0
112.6830003,0
107.1393133,0
198.9148133,0
128.4593091,0
183.9669149,0
56.21178416,0
310.9792814,0
306.378422,0
245.9545281,0
134.2287576,0
183.0730921,0
116.4317072,0
421.7914723,0
338.5675456,0
338.5675456,0
136.0678406,0
231.1645661,0
167.042532,0
264.0569334,0
414.7330295,0
454.0476339,0
473.7486736,0
420.4518909,0
1676.546981,0
790.3391977,0
1078.811315,0
172.4141212,0
226.0993713,0
252.4851925,0
294.8434505,0
294.8434505,0
301.5299475,0
121.4789184,0
159.2738342,0
159.2738342,0
93.59908267,0
98.06082532,0
98.06082532,0
70.60379423,0
48.29702016,0
48.29702016,0
67.39133953,0
67.39133953,0
47.26886294,0
467.8452831,0
306.9793132,0
1879.030082,0
1401.768126,0
1445.509305,0
2421.95611,0
2421.95611,0
894.6405119,0
880.4278938,0
1223.977945,0
1152.437337,0
2866.580184,0
4649.293487,0
4803.494149,0
4803.494149,0
3302.752502,0
4350.120032,0
690.546617,0
469.4513992,0
267.9458473,0
424.0513272,0
341.9652968,0
311.7703339,0
537.0123216,0
82.06154993,0
83.27571153,0
57.47368044,0
106.2134664,0
117.5105008,0
98.25232442,0
79.25866938,0
153.041542,0
278.8171914,0
319.775388,0
319.775388,0
395.2111874,0
214.8859933,0
194.9498049,0
346.0622901,0
346.0622901,0
426.367184,0
426.367184,0
227.7080931,0
236.5865493,0
236.5865493,0
106.7224929,0
154.7562179,0
302.7235169,0
50.49606991,0
81.89142978,0
27.7639787,0
43.42773325,0
43.42773325,0
50.49606991,0
136.9082799,0
136.9082799,0
72.00823154,0
100.8430709,0
100.8430709,0
91.50641379,0
87.67909977,0
268.3446127,0
206.7534419,0
233.1140167,0
149.1145052,0
138.9774481,0
138.9774481,0
131.5868142,0
120.8100643,0
404.2824472,0
303.2334161,0
148.4822507,0
176.7251536,0
142.7573548,0
229.9917713,0
278.1335551,0
293.2006439,0
282.9118026,0
282.9118026,0
378.6119342,0
275.9215534,0
420.4518909,0
420.4518909,0
1299.378574,0
1429.080052,0
1372.746486,0
1372.746486,0
566.602637,0
106.9754458,0
159.2738342,0
121.4789184,0
178.6446624,0
111.3556752,0
146.0010147,0
124.5807133,0
106.8939325,0
159.2738342,0
70.60379423,0
86.02641121,0
38.86118503,0
92.9105683,0
55.78434355,0
38.74471199,0
45.26440278,0
36.79934127,0
168.671642,0
168.671642,0
97.84566723,0
93.66468858,0
93.66468858,0
285.8940664,0
285.8940664,0
111.0605473,0
