,countList,incomeList,percentageList
202,36672.8,1200000.13,62.13
203,21248.08,1200000.27,63.5
204,43764.27,1202239.28,66.06
205,101101.14,1238291.67,66.51
206,84978.74,1275378.7,66.88
207,39493.08,1299999.88,70.21
208,71997.5,1299999.93,70.79
209,96750.73,1299999.94,68.56
210,80936.06,1299999.97,67.96
211,38951,1299999.97,68.13
212,56824.2,1299999.97,69.24
213,97782.21,1299999.98,68.99
214,62746.47,1300000.01,67.16
215,55879.53,1300000.02,67.4
216,46936.68,1300000.02,67.61
217,83469.64,1300000.03,69.6
218,99107.3,1300000.04,70.04
219,60038.91,1300000.06,70.47
220,33995.1,1300045.19,70.94
221,77240.36,1330726.44,71.28
222,88924.29,1354702.69,71.67
223,99762.95,1372835.48,72.11
224,70888.25,1399999.92,72.42
225,73034.43,1399999.99,73.08
226,75953.35,1400000.02,73.41
227,77231.56,1400000.03,72.76
228,67957.08,1405657.24,73.71
229,63120.21,1445920.82,73.98
230,84472.14,1485145.19,74.35
231,47187.32,1499999.87,74.84
232,69358.31,1499999.89,76.95
233,57309.3,1499999.9,76.64
234,62901.95,1499999.91,74.63
235,52105.53,1499999.91,75.07
236,71581.79,1499999.96,76.39
237,61814.86,1499999.97,76.08
238,88356.13,1500000,75.81
239,62151.66,1500000.06,77.22
240,80362.54,1500000.08,75.42
241,72887.27,1531774.44,77.54
242,61887.74,1587108.43,77.81
243,93610.64,1599999.95,78.63
244,92418.93,1600000,78.22
245,81284.77,1600000.1,78.98
246,70684.5,1612200.01,79.29
247,71113.87,1665254.71,79.61
248,73701.21,1700000.11,79.93
249,79479.83,1715303.65,80.28
250,83604.24,1783430.07,80.65
251,76166.92,1799999.97,81.35
252,87584.78,1799999.99,81.73
253,62003.27,1800000.01,82
254,84099.93,1800000.1,81.01
255,48504.61,1833567.42,82.22
256,75792.74,1898963.07,82.55
257,69301.11,1974036.11,82.85
258,65275.99,1999999.89,85.49
259,46238.13,1999999.91,83.06
260,102186.91,1999999.94,84.47
261,56247.62,1999999.95,85.2
262,58981.59,1999999.96,83.63
263,72080.46,1999999.97,83.37
264,89027.32,1999999.97,84.02
265,111034.46,1999999.98,84.96
266,81696.21,2071705.42,85.85
267,79131.6,2166177.05,86.2
268,51346.85,2199999.88,86.42
269,53668.25,2279134.46,86.66
270,70791.18,2312659.13,86.97
271,69699.12,2399845.26,87.27
272,66410.75,2481390.81,87.56
273,63131.61,2499999.84,88.09
274,66750.57,2499999.98,88.39
275,57487.25,2500000.17,87.82
276,52932.99,2536791.41,88.62
277,65262.7,2615044.14,88.91
278,76772.94,2728264.39,89.24
279,84206.28,2800000.06,89.61
280,71582.83,2930885.62,89.93
281,52106.64,2999999.85,90.59
282,99805.37,2999999.94,90.36
283,83007.15,3000000.15,90.96
284,75076.83,3000000.17,91.29
285,69335.91,3001027.48,91.59
286,52773.25,3163564,91.82
287,64124.43,3303096.59,92.1
288,52491.4,3474494.41,92.33
289,77619.98,3499999.94,92.67
290,74798.82,3531203.86,93
291,65881.29,3732369.98,93.29
292,92498.19,3898001.14,93.7
293,87933.81,4000000.21,94.08
